
Series anuales. Hechos esclarecidos
Hechos esclarecidos por comunidades autónomas, tipología penal y  periodo.
Unidades: Hechos esclarecidos

,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,
TOTAL NACIONAL,
    1.2.-Lesiones,1968.0,1587.0,1453.0,1748.0,1654.0,1726.0,1741.0,1736.0,1690.0,1888.0,1901.0,2091.0,1990.0,
    1.4.-Otros contra las personas,60.0,58.0,50.0,52.0,47.0,47.0,46.0,1011.0,2012.0,2041.0,1928.0,2064.0,2064.0,
    2.2.-Otros contra la libertad,1768.0,1553.0,1550.0,1549.0,1435.0,1596.0,1484.0,899.0,351.0,415.0,429.0,393.0,410.0,
    3.3.-Corrupción de menores o incapacitados,8.0,7.0,0.0,2.0,9.0,1.0,2.0,3.0,5.0,7.0,2.0,7.0,4.0,
    3.4.-Pornografía de menores,8.0,17.0,8.0,9.0,11.0,8.0,8.0,7.0,7.0,9.0,10.0,6.0,18.0,
    3.5.-Otros contra la libertad sexual,26.0,28.0,18.0,22.0,30.0,16.0,21.0,11.0,19.0,16.0,13.0,11.0,14.0,
    5. PATRIMONIO,6150.0,4908.0,4235.0,5016.0,4682.0,4662.0,4709.0,4832.0,5699.0,5843.0,5381.0,5097.0,5200.0,
    5.1.-Hurtos,2175.0,1600.0,1372.0,2088.0,2030.0,1911.0,1809.0,1897.0,2295.0,2496.0,2407.0,2016.0,1961.0,
    5.2.-Robos con fuerza en las cosas,596.0,565.0,537.0,706.0,648.0,776.0,802.0,799.0,858.0,1026.0,758.0,913.0,1117.0,
    5.3.-Robos con violencia o intimidación,236.0,203.0,217.0,203.0,177.0,180.0,267.0,252.0,317.0,368.0,382.0,284.0,284.0,
    5.4.-Sustracción de vehículos,133.0,112.0,107.0,88.0,94.0,169.0,169.0,169.0,232.0,181.0,200.0,237.0,234.0,
    5.5.-Estafas,1919.0,1378.0,1101.0,930.0,840.0,761.0,754.0,765.0,937.0,714.0,671.0,606.0,576.0,
    5.5.1.-Estafas informáticas,1330.0,934.0,710.0,401.0,316.0,312.0,288.0,243.0,197.0,188.0,142.0,129.0,135.0,
    5.6.-Daños,661.0,680.0,532.0,640.0,510.0,570.0,570.0,567.0,653.0,653.0,688.0,826.0,807.0,
    5.8.-Blanqueo de capitales,1.0,1.0,1.0,2.0,3.0,3.0,0.0,1.0,1.0,4.0,0.0,2.0,1.0,
    5.9.-Otros contra el patrimonio,418.0,363.0,364.0,343.0,343.0,285.0,328.0,367.0,380.0,381.0,247.0,195.0,190.0,
    6.1.-Tráfico de drogas,169.0,164.0,175.0,202.0,137.0,127.0,103.0,152.0,165.0,190.0,204.0,238.0,156.0,
    7. FALSEDADES,202.0,196.0,158.0,152.0,130.0,128.0,138.0,126.0,141.0,131.0,147.0,131.0,99.0,
    8. ADMÓN. PÚBLICA,0.0,6.0,1.0,5.0,3.0,2.0,0.0,3.0,0.0,6.0,4.0,7.0,2.0,
    9. ADMÓN. JUSTICIA,742.0,569.0,570.0,565.0,569.0,579.0,515.0,444.0,498.0,460.0,402.0,511.0,512.0,
    10. ORDEN PÚBLICO,503.0,479.0,538.0,359.0,373.0,401.0,362.0,440.0,608.0,663.0,755.0,759.0,700.0,
    11. LEGISLACIÓN ESPECIAL,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,
    TOTAL INFRACCIONES PENALES,14671.0,12426.0,11325.0,12550.0,11775.0,11883.0,11828.0,12273.0,13933.0,14521.0,14190.0,14513.0,14057.0,
BALEARS (ILLES),
    1. CONTRA LAS PERSONAS,8018.0,6632.0,5741.0,6797.0,6335.0,5935.0,5570.0,6558.0,7590.0,7441.0,7224.0,7539.0,7264.0,
    1.1.-Homicidios dolosos/asesinatos,32.0,38.0,37.0,44.0,42.0,32.0,30.0,35.0,28.0,32.0,26.0,47.0,40.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,0.0,6.0,6.0,6.0,7.0,4.0,8.0,9.0,10.0,8.0,4.0,11.0,6.0,
    1.2.-Lesiones,3010.0,2339.0,2146.0,2578.0,2658.0,2603.0,2501.0,2493.0,2511.0,2572.0,2526.0,2735.0,2548.0,
    1.4.-Otros contra las personas,170.0,133.0,94.0,123.0,111.0,86.0,45.0,1417.0,2576.0,2428.0,2484.0,2543.0,2583.0,
    2.2.-Otros contra la libertad,3563.0,3384.0,3233.0,2894.0,2698.0,2830.0,2642.0,1490.0,713.0,667.0,684.0,731.0,711.0,
    3.3.-Corrupción de menores o incapacitados,11.0,15.0,19.0,13.0,12.0,6.0,24.0,12.0,11.0,16.0,10.0,3.0,6.0,
    3.4.-Pornografía de menores,9.0,11.0,6.0,8.0,9.0,8.0,5.0,3.0,11.0,14.0,4.0,5.0,7.0,
    3.5.-Otros contra la libertad sexual,75.0,53.0,57.0,57.0,47.0,47.0,45.0,47.0,33.0,37.0,43.0,52.0,65.0,
    5. PATRIMONIO,9725.0,7969.0,7620.0,9263.0,8712.0,8370.0,8527.0,7799.0,9165.0,10215.0,8678.0,8369.0,8372.0,
    5.1.-Hurtos,3979.0,2729.0,2328.0,3155.0,3292.0,3059.0,3468.0,3241.0,3540.0,4380.0,3351.0,3043.0,3021.0,
    5.2.-Robos con fuerza en las cosas,1363.0,1171.0,1072.0,1518.0,1577.0,1551.0,1633.0,1319.0,2042.0,2107.0,1770.0,1873.0,1811.0,
    5.3.-Robos con violencia o intimidación,477.0,374.0,349.0,414.0,419.0,435.0,356.0,295.0,351.0,494.0,434.0,478.0,481.0,
    5.4.-Sustracción de vehículos,362.0,291.0,277.0,406.0,483.0,509.0,498.0,424.0,343.0,405.0,354.0,343.0,459.0,
    5.5.-Estafas,1663.0,1530.0,1942.0,1745.0,1101.0,1013.0,914.0,819.0,885.0,921.0,974.0,879.0,817.0,
    5.5.1.-Estafas informáticas,740.0,750.0,968.0,521.0,308.0,241.0,196.0,214.0,180.0,211.0,194.0,135.0,119.0,
    5.6.-Daños,962.0,973.0,849.0,1074.0,941.0,955.0,881.0,870.0,1008.0,955.0,1063.0,1110.0,1085.0,
    5.8.-Blanqueo de capitales,9.0,2.0,7.0,6.0,6.0,4.0,4.0,8.0,5.0,4.0,4.0,9.0,10.0,
    5.9.-Otros contra el patrimonio,860.0,838.0,775.0,853.0,826.0,780.0,697.0,744.0,860.0,845.0,651.0,562.0,601.0,
    6.1.-Tráfico de drogas,588.0,349.0,379.0,623.0,487.0,465.0,469.0,408.0,539.0,552.0,427.0,412.0,307.0,
    7. FALSEDADES,388.0,406.0,285.0,472.0,423.0,280.0,309.0,242.0,219.0,248.0,247.0,293.0,255.0,
    8. ADMÓN. PÚBLICA,12.0,6.0,10.0,6.0,4.0,13.0,22.0,6.0,13.0,7.0,12.0,19.0,18.0,
    9. ADMÓN. JUSTICIA,1461.0,1352.0,1179.0,1045.0,939.0,927.0,948.0,877.0,815.0,774.0,757.0,785.0,863.0,
    10. ORDEN PÚBLICO,875.0,713.0,1048.0,631.0,595.0,615.0,631.0,766.0,918.0,972.0,964.0,914.0,819.0,
    11. LEGISLACIÓN ESPECIAL,1.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,
    TOTAL INFRACCIONES PENALES,28091.0,23993.0,22440.0,25236.0,23549.0,22592.0,22086.0,21301.0,23217.0,24473.0,22535.0,22236.0,21454.0,
CANARIAS,
    1. CONTRA LAS PERSONAS,12580.0,11520.0,10812.0,11427.0,10951.0,10869.0,10178.0,14222.0,17743.0,17710.0,18162.0,19055.0,19164.0,
    1.1.-Homicidios dolosos/asesinatos,55.0,48.0,50.0,67.0,63.0,54.0,63.0,63.0,52.0,51.0,52.0,58.0,61.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,13.0,12.0,11.0,22.0,23.0,21.0,19.0,20.0,10.0,16.0,12.0,16.0,18.0,
    1.2.-Lesiones,6023.0,5597.0,5137.0,5950.0,5799.0,6016.0,5513.0,5578.0,5276.0,5681.0,5927.0,5883.0,6612.0,
    1.4.-Otros contra las personas,399.0,342.0,279.0,332.0,293.0,131.0,95.0,4247.0,8522.0,7962.0,8248.0,9024.0,9001.0,
    2.2.-Otros contra la libertad,7722.0,7775.0,7806.0,7385.0,7184.0,7210.0,6744.0,3980.0,1206.0,1273.0,1169.0,1266.0,1047.0,
    3.3.-Corrupción de menores o incapacitados,13.0,11.0,28.0,22.0,7.0,26.0,18.0,21.0,8.0,10.0,22.0,15.0,22.0,
    3.4.-Pornografía de menores,22.0,44.0,39.0,55.0,46.0,34.0,25.0,22.0,27.0,18.0,26.0,12.0,19.0,
    3.5.-Otros contra la libertad sexual,80.0,72.0,67.0,71.0,66.0,66.0,71.0,55.0,42.0,49.0,51.0,63.0,64.0,
    5. PATRIMONIO,16244.0,14330.0,13719.0,15485.0,14622.0,14962.0,14401.0,14751.0,14976.0,16096.0,15158.0,14291.0,13619.0,
    5.1.-Hurtos,5899.0,4913.0,4081.0,5499.0,5486.0,5816.0,5908.0,6005.0,6294.0,6432.0,5965.0,5526.0,4773.0,
    5.2.-Robos con fuerza en las cosas,1883.0,1825.0,1744.0,2122.0,2226.0,2586.0,2521.0,2758.0,2778.0,3613.0,3027.0,2640.0,2877.0,
    5.3.-Robos con violencia o intimidación,824.0,733.0,708.0,783.0,735.0,634.0,709.0,756.0,791.0,878.0,903.0,853.0,836.0,
    5.4.-Sustracción de vehículos,467.0,382.0,466.0,516.0,461.0,609.0,456.0,481.0,512.0,537.0,556.0,697.0,634.0,
    5.5.-Estafas,3484.0,3116.0,3299.0,2895.0,2283.0,1975.0,1693.0,1633.0,1536.0,1491.0,1614.0,1406.0,1354.0,
    5.5.1.-Estafas informáticas,1922.0,1641.0,1474.0,985.0,646.0,535.0,386.0,334.0,297.0,282.0,271.0,222.0,226.0,
    5.6.-Daños,2390.0,2228.0,2058.0,2153.0,1924.0,1922.0,1827.0,1869.0,1924.0,2210.0,2210.0,2395.0,2460.0,
    5.8.-Blanqueo de capitales,9.0,18.0,8.0,12.0,12.0,15.0,12.0,21.0,3.0,11.0,10.0,3.0,1.0,
    5.9.-Otros contra el patrimonio,1204.0,1070.0,1324.0,1353.0,1386.0,1337.0,1195.0,1147.0,1080.0,846.0,805.0,732.0,624.0,
    6.1.-Tráfico de drogas,669.0,527.0,543.0,597.0,615.0,597.0,601.0,572.0,549.0,615.0,609.0,764.0,799.0,
    7. FALSEDADES,552.0,618.0,600.0,703.0,527.0,679.0,468.0,493.0,385.0,358.0,372.0,437.0,326.0,
    8. ADMÓN. PÚBLICA,19.0,19.0,16.0,14.0,9.0,129.0,24.0,18.0,11.0,12.0,18.0,14.0,18.0,
    9. ADMÓN. JUSTICIA,1976.0,1836.0,1735.0,1732.0,1492.0,1522.0,1301.0,1261.0,1324.0,1318.0,1319.0,1410.0,1311.0,
    10. ORDEN PÚBLICO,913.0,1066.0,1385.0,911.0,850.0,871.0,844.0,960.0,1259.0,1271.0,1466.0,1543.0,1636.0,
    11. LEGISLACIÓN ESPECIAL,1.0,2.0,1.0,12.0,0.0,1.0,3.0,1.0,3.0,5.0,5.0,17.0,5.0,
    TOTAL INFRACCIONES PENALES,46319.0,42910.0,41499.0,43525.0,41195.0,41778.0,39128.0,41054.0,42790.0,44505.0,43956.0,44741.0,43678.0,
CANTABRIA,
    1. CONTRA LAS PERSONAS,2188.0,1881.0,1589.0,1829.0,1953.0,1779.0,1811.0,2424.0,3062.0,2980.0,2987.0,3357.0,3222.0,
    1.1.-Homicidios dolosos/asesinatos,12.0,14.0,4.0,15.0,4.0,6.0,8.0,9.0,4.0,5.0,5.0,3.0,6.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,1.0,4.0,1.0,6.0,1.0,2.0,0.0,4.0,2.0,4.0,1.0,2.0,1.0,
    1.2.-Lesiones,1231.0,1072.0,899.0,1107.0,1279.0,1159.0,1186.0,1195.0,1163.0,1283.0,1260.0,1408.0,1331.0,
