Comunidades y Ciudades Autónomas;Sexo;Grupos de edad;Periodo;Total
09 Cataluña;Hombres;De 25 a 29 años;2010;89,03
09 Cataluña;Hombres;De 30 a 34 años;2010;54,53
09 Cataluña;Hombres;De 35 a 39 años;2010;42,07
09 Cataluña;Hombres;De 40 a 44 años;2010;37,92
09 Cataluña;Hombres;De 45 a 49 años;2010;36,24
09 Cataluña;Hombres;De 50 a 54 años;2010;35,58
09 Cataluña;Hombres;De 55 a 59 años;2010;39,73
09 Cataluña;Hombres;De 60 a 64 años;2010;61,01
09 Cataluña;Hombres;De 65 a 69 años;2010;60,98
09 Cataluña;Hombres;De 70 a 74 años;2010;56,25
09 Cataluña;Hombres;75 y más años;2010;43,54
09 Cataluña;Mujeres;De 10 a 14 años;2010;80,3
09 Cataluña;Mujeres;De 15 a 19 años;2010;110,42
09 Cataluña;Mujeres;De 20 a 24 años;2010;131,86
09 Cataluña;Mujeres;De 25 a 29 años;2010;92,07
09 Cataluña;Mujeres;De 30 a 34 años;2010;59,13
09 Cataluña;Mujeres;De 35 a 39 años;2010;49,87
09 Cataluña;Mujeres;De 40 a 44 años;2010;48,35
09 Cataluña;Mujeres;De 45 a 49 años;2010;47,42
09 Cataluña;Mujeres;De 50 a 54 años;2010;51,14
09 Cataluña;Mujeres;De 55 a 59 años;2010;62,63
09 Cataluña;Mujeres;De 60 a 64 años;2010;83,59
09 Cataluña;Mujeres;De 65 a 69 años;2010;76,31
09 Cataluña;Mujeres;De 70 a 74 años;2010;75,2
09 Cataluña;Mujeres;75 y más años;2010;62,34
10 Comunitat Valenciana;Hombres;De 10 a 14 años;2010;59,04
10 Comunitat Valenciana;Hombres;De 15 a 19 años;2010;85,66
10 Comunitat Valenciana;Hombres;De 20 a 24 años;2010;110,6
10 Comunitat Valenciana;Hombres;De 25 a 29 años;2010;70,8
10 Comunitat Valenciana;Hombres;De 30 a 34 años;2010;45
10 Comunitat Valenciana;Hombres;De 35 a 39 años;2010;37,75
10 Comunitat Valenciana;Hombres;De 40 a 44 años;2010;38,29
10 Comunitat Valenciana;Hombres;De 45 a 49 años;2010;41,01
10 Comunitat Valenciana;Hombres;De 50 a 54 años;2010;47,05
10 Comunitat Valenciana;Hombres;De 55 a 59 años;2010;61,19
10 Comunitat Valenciana;Hombres;De 60 a 64 años;2010;62,91
10 Comunitat Valenciana;Hombres;De 65 a 69 años;2010;51,34
10 Comunitat Valenciana;Hombres;De 70 a 74 años;2010;29,04
10 Comunitat Valenciana;Hombres;75 y más años;2010;20,86
10 Comunitat Valenciana;Mujeres;De 10 a 14 años;2010;55,92
10 Comunitat Valenciana;Mujeres;De 15 a 19 años;2010;83,63
10 Comunitat Valenciana;Mujeres;De 20 a 24 años;2010;108,53
10 Comunitat Valenciana;Mujeres;De 25 a 29 años;2010;66,78
10 Comunitat Valenciana;Mujeres;De 30 a 34 años;2010;44,26
10 Comunitat Valenciana;Mujeres;De 35 a 39 años;2010;42,22
10 Comunitat Valenciana;Mujeres;De 40 a 44 años;2010;42,95
10 Comunitat Valenciana;Mujeres;De 45 a 49 años;2010;47,32
10 Comunitat Valenciana;Mujeres;De 50 a 54 años;2010;56,96
10 Comunitat Valenciana;Mujeres;De 55 a 59 años;2010;62,44
10 Comunitat Valenciana;Mujeres;De 60 a 64 años;2010;61,32
10 Comunitat Valenciana;Mujeres;De 65 a 69 años;2010;43,13
10 Comunitat Valenciana;Mujeres;De 70 a 74 años;2010;28,9
10 Comunitat Valenciana;Mujeres;75 y más años;2010;27,29
11 Extremadura;Hombres;De 10 a 14 años;2010;75,36
11 Extremadura;Hombres;De 15 a 19 años;2010;120,77
11 Extremadura;Hombres;De 20 a 24 años;2010;100,04
11 Extremadura;Hombres;De 25 a 29 años;2010;70,38
11 Extremadura;Hombres;De 30 a 34 años;2010;68,14
11 Extremadura;Hombres;De 35 a 39 años;2010;49,27
11 Extremadura;Hombres;De 40 a 44 años;2010;53,27
11 Extremadura;Hombres;De 45 a 49 años;2010;42,63
11 Extremadura;Hombres;De 50 a 54 años;2010;49,25
11 Extremadura;Hombres;De 55 a 59 años;2010;59,13
11 Extremadura;Hombres;De 60 a 64 años;2010;45,64
11 Extremadura;Hombres;De 65 a 69 años;2010;47,13
11 Extremadura;Hombres;De 70 a 74 años;2010;34,66
11 Extremadura;Hombres;75 y más años;2010;31,22
11 Extremadura;Mujeres;De 10 a 14 años;2010;79,07
11 Extremadura;Mujeres;De 15 a 19 años;2010;132,56
11 Extremadura;Mujeres;De 20 a 24 años;2010;132,15
11 Extremadura;Mujeres;De 25 a 29 años;2010;87,93
11 Extremadura;Mujeres;De 30 a 34 años;2010;65,83
11 Extremadura;Mujeres;De 35 a 39 años;2010;72,3
11 Extremadura;Mujeres;De 40 a 44 años;2010;55,45
11 Extremadura;Mujeres;De 45 a 49 años;2010;55,91
11 Extremadura;Mujeres;De 50 a 54 años;2010;55,89
11 Extremadura;Mujeres;De 55 a 59 años;2010;57,66
11 Extremadura;Mujeres;De 60 a 64 años;2010;76,55
11 Extremadura;Mujeres;De 65 a 69 años;2010;86,7
11 Extremadura;Mujeres;De 70 a 74 años;2010;27,5
11 Extremadura;Mujeres;75 y más años;2010;41,27
12 Galicia;Hombres;De 10 a 14 años;2010;115,34
12 Galicia;Hombres;De 15 a 19 años;2010;131,55
12 Galicia;Hombres;De 20 a 24 años;2010;117,8
12 Galicia;Hombres;De 25 a 29 años;2010;97,05
12 Galicia;Hombres;De 30 a 34 años;2010;65,72
12 Galicia;Hombres;De 35 a 39 años;2010;62,98
12 Galicia;Hombres;De 40 a 44 años;2010;53,43
12 Galicia;Hombres;De 45 a 49 años;2010;53,01
12 Galicia;Hombres;De 50 a 54 años;2010;49,74
