,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,
    5.1.-Hurtos,6810.0,4705.0,4148.0,6780.0,7223.0,7261.0,7638.0,8275.0,8715.0,10060.0,10381.0,9322.0,8721.0,
    5.2.-Robos con fuerza en las cosas,2083.0,1976.0,1891.0,2440.0,2359.0,2650.0,3043.0,3075.0,3222.0,3348.0,3553.0,3489.0,4028.0,
    5.3.-Robos con violencia o intimidación,392.0,295.0,317.0,362.0,355.0,371.0,531.0,603.0,683.0,766.0,836.0,643.0,612.0,
    5.4.-Sustracción de vehículos,239.0,259.0,289.0,224.0,211.0,394.0,371.0,449.0,484.0,451.0,480.0,664.0,665.0,
    5.5.-Estafas,8799.0,7053.0,6530.0,5575.0,4815.0,3551.0,2955.0,2446.0,2033.0,1646.0,1544.0,1352.0,1125.0,
    5.5.1.-Estafas informáticas,7661.0,6187.0,5623.0,3657.0,2371.0,1677.0,1277.0,1002.0,690.0,585.0,475.0,376.0,320.0,
    5.6.-Daños,3151.0,2931.0,2625.0,2824.0,2994.0,3008.0,3025.0,3112.0,3265.0,3718.0,3429.0,3195.0,3294.0,
    5.8.-Blanqueo de capitales,1.0,1.0,1.0,1.0,4.0,3.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,
    5.9.-Otros contra el patrimonio,988.0,797.0,786.0,842.0,809.0,719.0,784.0,969.0,1101.0,819.0,357.0,273.0,246.0,
    6.1.-Tráfico de drogas,170.0,166.0,180.0,206.0,140.0,130.0,103.0,154.0,167.0,189.0,206.0,240.0,154.0,
    7. FALSEDADES,592.0,411.0,305.0,220.0,185.0,178.0,201.0,188.0,185.0,157.0,204.0,179.0,129.0,
    8. ADMÓN. PÚBLICA,2.0,8.0,2.0,6.0,3.0,3.0,0.0,4.0,0.0,8.0,6.0,7.0,2.0,
    9. ADMÓN. JUSTICIA,729.0,568.0,560.0,567.0,557.0,575.0,512.0,446.0,502.0,447.0,408.0,516.0,519.0,
    10. ORDEN PÚBLICO,506.0,489.0,540.0,360.0,376.0,409.0,368.0,449.0,626.0,664.0,781.0,766.0,708.0,
    11. LEGISLACIÓN ESPECIAL,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,
    TOTAL INFRACCIONES PENALES,32093.0,26340.0,24324.0,27163.0,26433.0,25652.0,26093.0,26982.0,28430.0,30049.0,30164.0,29158.0,28481.0,
BALEARS (ILLES),
    1. CONTRA LAS PERSONAS,9288.0,7431.0,6407.0,8110.0,7545.0,7096.0,6609.0,7774.0,9299.0,9030.0,8966.0,9608.0,8938.0,
    1.1.-Homicidios dolosos/asesinatos,39.0,38.0,37.0,48.0,44.0,32.0,32.0,35.0,33.0,33.0,30.0,60.0,41.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,3.0,6.0,7.0,6.0,8.0,4.0,9.0,8.0,12.0,10.0,5.0,12.0,6.0,
    1.2.-Lesiones,4169.0,3101.0,2765.0,3774.0,3806.0,3679.0,3456.0,3301.0,3325.0,3325.0,3387.0,3702.0,3358.0,
    1.4.-Otros contra las personas,212.0,178.0,131.0,165.0,137.0,132.0,76.0,1791.0,3439.0,3247.0,3317.0,3499.0,3402.0,
    2.2.-Otros contra la libertad,5221.0,4937.0,4514.0,4192.0,3864.0,3893.0,3744.0,2213.0,922.0,853.0,878.0,971.0,923.0,
    3.3.-Corrupción de menores o incapacitados,23.0,19.0,28.0,14.0,16.0,9.0,27.0,17.0,19.0,18.0,20.0,15.0,16.0,
    3.4.-Pornografía de menores,14.0,22.0,17.0,16.0,17.0,19.0,17.0,11.0,23.0,27.0,13.0,24.0,43.0,
    3.5.-Otros contra la libertad sexual,124.0,101.0,86.0,95.0,72.0,86.0,73.0,76.0,56.0,49.0,61.0,74.0,89.0,
    5. PATRIMONIO,53397.0,41567.0,42187.0,58274.0,55800.0,55129.0,51859.0,50642.0,52211.0,57282.0,58202.0,57572.0,54693.0,
    5.1.-Hurtos,24460.0,16433.0,12478.0,26584.0,27629.0,29183.0,27962.0,27662.0,29784.0,34526.0,33392.0,31650.0,28551.0,
    5.2.-Robos con fuerza en las cosas,7048.0,6119.0,5724.0,7883.0,7967.0,8666.0,8737.0,8506.0,9219.0,10050.0,11756.0,13000.0,13221.0,
    5.3.-Robos con violencia o intimidación,1272.0,896.0,749.0,1314.0,1230.0,1354.0,1186.0,1069.0,1217.0,1319.0,1585.0,1608.0,1476.0,
    5.4.-Sustracción de vehículos,1564.0,1073.0,1021.0,1429.0,1432.0,1717.0,1925.0,1770.0,1445.0,1582.0,1650.0,1861.0,1970.0,
    5.5.-Estafas,11548.0,10021.0,15834.0,13083.0,9812.0,6696.0,5028.0,4741.0,3650.0,3218.0,3175.0,2824.0,2634.0,
    5.5.1.-Estafas informáticas,7452.0,7005.0,10879.0,7702.0,5491.0,3156.0,2113.0,2264.0,1304.0,1049.0,956.0,749.0,546.0,
    5.6.-Daños,5284.0,5010.0,4596.0,5625.0,5479.0,5290.0,5064.0,4994.0,4949.0,4821.0,5391.0,5573.0,5763.0,
    5.8.-Blanqueo de capitales,9.0,4.0,8.0,8.0,5.0,4.0,4.0,8.0,6.0,4.0,4.0,10.0,10.0,
    5.9.-Otros contra el patrimonio,2140.0,1937.0,1746.0,2215.0,2137.0,2142.0,1862.0,1776.0,1801.0,1649.0,1166.0,967.0,979.0,
    6.1.-Tráfico de drogas,627.0,389.0,431.0,656.0,514.0,483.0,500.0,419.0,560.0,561.0,435.0,436.0,320.0,
    7. FALSEDADES,1045.0,1008.0,671.0,716.0,639.0,476.0,479.0,417.0,380.0,405.0,419.0,450.0,388.0,
    8. ADMÓN. PÚBLICA,22.0,7.0,16.0,11.0,6.0,18.0,27.0,8.0,15.0,7.0,15.0,24.0,20.0,
    9. ADMÓN. JUSTICIA,1499.0,1357.0,1215.0,1095.0,963.0,950.0,980.0,916.0,846.0,798.0,781.0,832.0,888.0,
    10. ORDEN PÚBLICO,884.0,718.0,1047.0,652.0,599.0,634.0,643.0,791.0,947.0,1009.0,1003.0,1000.0,854.0,
    11. LEGISLACIÓN ESPECIAL,1.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,
    TOTAL INFRACCIONES PENALES,75982.0,61015.0,59750.0,77662.0,73661.0,72157.0,68160.0,66680.0,68747.0,73833.0,74558.0,74455.0,70162.0,
CANARIAS,
    1. CONTRA LAS PERSONAS,13601.0,12465.0,11643.0,12396.0,11805.0,11744.0,11021.0,15540.0,19560.0,19224.0,19993.0,21243.0,21268.0,
    1.1.-Homicidios dolosos/asesinatos,60.0,53.0,54.0,64.0,66.0,56.0,65.0,64.0,55.0,50.0,55.0,58.0,61.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,13.0,16.0,12.0,20.0,25.0,20.0,21.0,20.0,12.0,13.0,15.0,17.0,17.0,
    1.2.-Lesiones,7038.0,6534.0,5938.0,6922.0,6629.0,6892.0,6370.0,6409.0,6075.0,6408.0,6839.0,6839.0,7562.0,
    1.4.-Otros contra las personas,443.0,380.0,318.0,368.0,335.0,146.0,99.0,4721.0,9503.0,8742.0,9164.0,10237.0,10133.0,
    2.2.-Otros contra la libertad,9119.0,9192.0,9003.0,8478.0,8242.0,8074.0,7649.0,4563.0,1333.0,1395.0,1283.0,1417.0,1166.0,
    3.3.-Corrupción de menores o incapacitados,19.0,11.0,42.0,34.0,8.0,25.0,23.0,31.0,15.0,14.0,30.0,24.0,29.0,
    3.4.-Pornografía de menores,33.0,54.0,54.0,68.0,52.0,45.0,26.0,27.0,34.0,32.0,38.0,27.0,51.0,
    3.5.-Otros contra la libertad sexual,114.0,92.0,101.0,97.0,79.0,83.0,87.0,61.0,52.0,60.0,59.0,79.0,70.0,
    5. PATRIMONIO,61602.0,49285.0,53017.0,64716.0,61599.0,62255.0,61781.0,60740.0,59759.0,62970.0,66731.0,65378.0,61351.0,
    5.1.-Hurtos,23596.0,17144.0,16683.0,26122.0,27229.0,30127.0,30971.0,30242.0,30658.0,32519.0,32454.0,31825.0,29107.0,
    5.2.-Robos con fuerza en las cosas,8596.0,7639.0,7501.0,10888.0,11598.0,12638.0,12658.0,12752.0,12614.0,13661.0,14956.0,14378.0,13784.0,
    5.3.-Robos con violencia o intimidación,1615.0,1316.0,1180.0,1535.0,1490.0,1436.0,1537.0,1530.0,1628.0,1818.0,2011.0,2017.0,1944.0,
    5.4.-Sustracción de vehículos,1244.0,983.0,1012.0,1295.0,1354.0,1797.0,1606.0,1677.0,1822.0,1893.0,2168.0,2789.0,2929.0,
    5.5.-Estafas,16263.0,12655.0,17514.0,14382.0,9981.0,6447.0,5480.0,5289.0,4197.0,3736.0,5267.0,4205.0,3335.0,
    5.5.1.-Estafas informáticas,11699.0,8916.0,12642.0,7286.0,3097.0,2172.0,1696.0,1838.0,1371.0,1161.0,2118.0,1384.0,978.0,
    5.6.-Daños,7688.0,7413.0,6729.0,7480.0,7217.0,7324.0,7240.0,7168.0,7170.0,8060.0,8721.0,9131.0,9348.0,
    5.8.-Blanqueo de capitales,10.0,15.0,8.0,14.0,14.0,13.0,15.0,21.0,5.0,5.0,10.0,4.0,2.0,
    5.9.-Otros contra el patrimonio,2499.0,2072.0,2354.0,2846.0,2604.0,2398.0,2187.0,1975.0,1597.0,1196.0,1071.0,985.0,841.0,
    6.1.-Tráfico de drogas,744.0,531.0,573.0,603.0,620.0,597.0,601.0,569.0,557.0,615.0,614.0,777.0,799.0,
    7. FALSEDADES,1290.0,1208.0,1000.0,1114.0,754.0,875.0,643.0,701.0,552.0,516.0,554.0,662.0,439.0,
    8. ADMÓN. PÚBLICA,23.0,33.0,17.0,17.0,13.0,135.0,26.0,18.0,17.0,12.0,21.0,16.0,22.0,
    9. ADMÓN. JUSTICIA,1975.0,1821.0,1720.0,1721.0,1485.0,1521.0,1298.0,1266.0,1339.0,1298.0,1329.0,1428.0,1312.0,
    10. ORDEN PÚBLICO,935.0,1082.0,1395.0,922.0,855.0,886.0,863.0,1001.0,1309.0,1293.0,1497.0,1586.0,1643.0,
    11. LEGISLACIÓN ESPECIAL,1.0,1.0,1.0,13.0,0.0,1.0,3.0,5.0,3.0,4.0,5.0,19.0,5.0,
    TOTAL INFRACCIONES PENALES,95451.0,81232.0,83635.0,95639.0,90649.0,91359.0,88782.0,89539.0,90133.0,93341.0,97973.0,98942.0,93965.0,
CANTABRIA,
    1. CONTRA LAS PERSONAS,2463.0,2069.0,1748.0,2053.0,2110.0,1941.0,1971.0,2656.0,3312.0,3180.0,3292.0,3711.0,3564.0,
    1.1.-Homicidios dolosos/asesinatos,12.0,15.0,4.0,15.0,5.0,7.0,8.0,8.0,4.0,5.0,6.0,4.0,7.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,1.0,4.0,1.0,6.0,2.0,3.0,0.0,3.0,3.0,4.0,1.0,2.0,2.0,
    1.2.-Lesiones,1504.0,1244.0,1042.0,1300.0,1424.0,1323.0,1341.0,1366.0,1304.0,1405.0,1448.0,1603.0,1519.0,
    1.4.-Otros contra las personas,82.0,102.0,93.0,105.0,82.0,55.0,50.0,700.0,1456.0,1223.0,1304.0,1532.0,1476.0,
    2.2.-Otros contra la libertad,1492.0,1546.0,1321.0,1320.0,1245.0,1219.0,1116.0,738.0,223.0,193.0,213.0,227.0,187.0,
    3.3.-Corrupción de menores o incapacitados,4.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,5.0,
    3.4.-Pornografía de menores,11.0,5.0,5.0,8.0,8.0,4.0,8.0,12.0,8.0,4.0,4.0,6.0,16.0,
    3.5.-Otros contra la libertad sexual,18.0,16.0,18.0,16.0,18.0,12.0,17.0,8.0,7.0,8.0,6.0,10.0,19.0,
    5. PATRIMONIO,17321.0,14239.0,11558.0,12953.0,12552.0,12678.0,12290.0,11661.0,11701.0,11875.0,12651.0,11901.0,11770.0,
    5.1.-Hurtos,4878.0,3820.0,3236.0,4868.0,4669.0,4983.0,5108.0,5097.0,5436.0,5940.0,6011.0,5391.0,5194.0,
    5.2.-Robos con fuerza en las cosas,2841.0,2528.0,2225.0,2471.0,2559.0,2600.0,2562.0,2279.0,2550.0,2432.0,2859.0,2560.0,2547.0,
    5.3.-Robos con violencia o intimidación,242.0,194.0,178.0,223.0,177.0,214.0,214.0,261.0,296.0,371.0,419.0,323.0,397.0,
    5.4.-Sustracción de vehículos,86.0,140.0,100.0,132.0,123.0,207.0,245.0,250.0,245.0,264.0,344.0,330.0,396.0,
    5.5.-Estafas,5881.0,4473.0,3269.0,2259.0,2241.0,2139.0,1666.0,1370.0,1046.0,803.0,708.0,794.0,681.0,
    5.5.1.-Estafas informáticas,4349.0,3243.0,2513.0,1766.0,1704.0,1419.0,1028.0,776.0,589.0,281.0,233.0,231.0,210.0,
    5.6.-Daños,2760.0,2426.0,2039.0,2245.0,2052.0,2024.0,1956.0,1735.0,1672.0,1672.0,1935.0,2207.0,2286.0,
    5.8.-Blanqueo de capitales,2.0,2.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,16.0,
    5.9.-Otros contra el patrimonio,609.0,632.0,499.0,738.0,710.0,504.0,527.0,656.0,428.0,368.0,347.0,275.0,222.0,
    6.1.-Tráfico de drogas,83.0,96.0,96.0,86.0,87.0,63.0,92.0,115.0,110.0,92.0,103.0,101.0,102.0,
    7. FALSEDADES,259.0,222.0,150.0,162.0,124.0,106.0,145.0,113.0,99.0,99.0,138.0,159.0,104.0,
    8. ADMÓN. PÚBLICA,2.0,2.0,4.0,3.0,0.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,
    9. ADMÓN. JUSTICIA,390.0,276.0,278.0,282.0,318.0,269.0,229.0,256.0,277.0,300.0,306.0,327.0,246.0,
